,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
105,0.9917323435844835,1.3729422038996428,0.4255391164708259,0.6129747057492442,-0.5482577306579234,0.7316396899696032,0.5829344588160912,0
106,1.0388634151303169,1.407582716228078,0.48211719280091403,0.8266582319606112,-0.5482577306579234,0.7315798377026971,0.6681835943713635,0
107,1.074499104033273,1.5049266580554421,0.5506711735958075,1.1102682206938195,-0.5482577306579234,0.7316337235513356,0.7412542819901686,0
108,1.1101347917579512,1.5438111778726709,0.6042535857547477,1.1892495220627146,-0.5482577306579234,0.732893353207696,0.8143249696089734,0
109,1.1397354035067486,1.4605952354475609,0.6867954302898847,1.1913023876249706,-0.5482577306579234,0.7341424836725958,0.8873956572277785,0
110,1.1811187831420054,1.486982764691616,0.7510697206769434,1.198001212091279,-0.5482577306579234,0.7353814507701506,0.948287896910116,0
111,1.2046843189149221,1.465781992950385,0.8396042121175801,1.3060467679994805,-0.5482577306579234,0.7366105153180724,1.021358584528921,0
112,1.2342849318419957,1.4728296606948776,0.9546551112129025,1.430299157293912,-0.5482577306579234,0.7378309893601507,1.0822508242112585,0
113,1.246355083793759,1.5789609124028392,1.001066596316078,1.510252868665981,-0.5482577306579234,0.7390413278781677,1.155321511830063,0
114,1.2638855435907932,1.5297282769790785,1.1445957368208586,1.6031720467470343,-0.5482577306579234,0.740241140497901,1.2162137515124005,0
115,1.2817033874531332,1.5390745848435676,1.0958390152750894,1.6661986210268185,-0.5482577306579234,0.7413480088220972,1.277105991194738,0
116,1.30526892322605,1.5248480788934178,1.2333954173216164,1.791808700332389,-0.5482577306579234,0.7418491015855415,1.3501766788135432,0
117,1.3230867670883883,1.5029281862521817,1.2763938768887566,1.77424417693502,-0.5482577306579234,0.7423490675482797,1.4232473664323477,0
118,1.3351569202184275,1.4546256440435683,1.4347539459940593,1.9346377027577706,-0.5482577306579234,0.742850311460988,1.496318054051153,0
119,1.3529747640807674,1.413517335882537,1.4850231436213595,1.9543201034486888,-0.5482577306579234,0.7457988971853126,1.5693887416699581,0
120,1.3647575319672267,1.380629388693274,1.45240579406208,1.9745071517972839,-0.5482577306579234,0.7462834027377442,1.6546378772252304,0
126,0.8612597434592542,0.6987926584784148,0.5819994878226609,0.14384152649914667,-0.5482577306579234,0.7479877714846688,-0.14777241737195818,2
127,0.9141385069156646,0.7216905450274916,0.5988569670758591,0.34031578742279306,-0.5482577306579234,0.7479877714846688,-0.09905862562608818,0
128,0.926208658867426,0.7782231767607444,0.6749939739035948,0.24575971268699748,-0.5482577306579234,0.7479879419537625,-0.050344833880218175,0
129,0.9207483522004309,0.7989968914313552,0.724803703841352,0.466892950445783,-0.5482577306579234,0.7479879419537625,-0.0016310421343483862,0
130,0.985409882365021,0.8578310061692764,0.8088690191910256,0.8839487962514403,-0.5482577306579234,0.7479879419537625,0.04708274961152183,0
131,1.0032277274056387,0.8827085031852335,0.8728311098191374,1.01792528557761,-0.5482577306579234,0.7479876032884964,0.09579654135739162,0
132,1.0678892575702288,0.9200043263382593,1.0094577365145116,1.2196103232729194,-0.5482577306579234,0.7479879362714589,0.15668878103972908,0
133,1.1032375612296033,0.9786837265050521,1.1006853896878133,1.4274179424696936,-0.5482577306579234,0.7479876044249572,0.20540257278559884,0
134,1.1328381741566784,0.9705596119856655,1.1979586247142004,1.5534710910292617,-0.5482577306579234,0.7479877714846688,0.2541163645314691,0
